sp,feature,sub_feature,variant,css_spec_section,implemented,implementation_file,has_unit_test,pixel_test_id,pixel_compared_with_chromium,pixel_result,pixel_diff_pct,perf_compared_with_chromium,perf_ratio,notes
SP12,display,outer,none,css-display-3 §2,yes,openui-style/src/enums.rs,yes,display_outer_none,yes,pass,0.0,no,not_run,Suppresses layout entirely
SP12,display,outer,block,css-display-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,display_outer_block,yes,pass,0.0,no,not_run,Primary block layout path
SP12,display,outer,inline,css-display-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/inline/algorithm.rs,yes,display_outer_inline,yes,fail,0.598542,no,not_run,Inline formatting context
SP12,display,outer,inline-block,css-display-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,display_outer_inline_block,yes,pass,0.0,no,not_run,Atomic inline / BFC
SP12,display,inner,flex,css-display-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/flex/algorithm.rs,yes,,no,not_run,,no,not_run,Full flex algorithm
SP12,display,inner,inline-flex,css-display-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/flex/algorithm.rs,yes,,no,not_run,,no,not_run,Inline flex container
SP12,display,inner,grid,css-display-3 §2,no,openui-style/src/enums.rs,no,,no,not_run,,no,not_run,Enum defined; no layout algorithm
SP12,display,inner,inline-grid,css-display-3 §2,no,openui-style/src/enums.rs,no,,no,not_run,,no,not_run,Enum defined; no layout algorithm
SP12,display,outer,flow-root,css-display-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/new_formatting_context.rs,yes,display_inner_flow_root,yes,pass,0.0,no,not_run,Creates new BFC
SP12,display,outer,table,css-display-3 §2,no,openui-style/src/enums.rs,no,,no,not_run,,no,not_run,Enum defined; no table layout
SP12,display,outer,list-item,css-display-3 §2,partial,openui-style/src/enums.rs,no,,no,not_run,,no,not_run,Enum defined; marker positioning incomplete
SP12,position,value,static,css-position-3 §2,yes,openui-style/src/enums.rs,yes,position_static,yes,pass,0.0,no,not_run,Default; no offset applied
SP12,position,value,relative,css-position-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/relative.rs,yes,position_relative,yes,pass,0.0,no,not_run,Offset from normal-flow position
SP12,position,value,absolute,css-position-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/out_of_flow.rs,yes,position_absolute,yes,pass,0.0,no,not_run,Out-of-flow; containing block relative
SP12,position,value,fixed,css-position-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/out_of_flow.rs,yes,position_fixed,yes,pass,0.0,no,not_run,Out-of-flow; viewport relative
SP12,position,value,sticky,css-position-3 §2,yes,openui-style/src/enums.rs; openui-layout/src/sticky.rs,yes,position_sticky_top,no,not_run,,no,not_run,Scroll-aware sticky positioning
SP12,float,value,none,css2 §9.5,yes,openui-style/src/enums.rs,yes,float_none,yes,pass,0.0,no,not_run,Default; element stays in flow
SP12,float,value,left,css2 §9.5,yes,openui-style/src/enums.rs; openui-layout/src/exclusions/exclusion_space.rs; openui-layout/src/exclusions/float_utils.rs,yes,float_left,yes,fail,1.082917,no,not_run,Float to left edge of containing block
SP12,float,value,right,css2 §9.5,yes,openui-style/src/enums.rs; openui-layout/src/exclusions/exclusion_space.rs; openui-layout/src/exclusions/float_utils.rs,yes,float_right,yes,fail,1.082917,no,not_run,Float to right edge of containing block
SP12,clear,value,none,css2 §9.5.2,yes,openui-style/src/enums.rs,yes,,no,not_run,,no,not_run,No clearance
SP12,clear,value,left,css2 §9.5.2,yes,openui-style/src/enums.rs; openui-layout/src/exclusions/exclusion_space.rs,yes,clear_left,yes,pass,0.0,no,not_run,Clear past left floats
SP12,clear,value,right,css2 §9.5.2,yes,openui-style/src/enums.rs; openui-layout/src/exclusions/exclusion_space.rs,yes,clear_right,yes,pass,0.0,no,not_run,Clear past right floats
SP12,clear,value,both,css2 §9.5.2,yes,openui-style/src/enums.rs; openui-layout/src/exclusions/exclusion_space.rs,yes,clear_both,yes,pass,0.0,no,not_run,Clear past all floats
SP12,overflow,value,visible,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,overflow_visible,yes,pass,0.0,no,not_run,Overflow visible handling
SP12,overflow,value,hidden,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,overflow_hidden,yes,pass,0.0,no,not_run,Overflow hidden handling
SP12,overflow,value,scroll,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,overflow_scroll,no,not_run,,no,not_run,Overflow scroll handling
SP12,overflow,value,auto,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,overflow_auto,no,not_run,,no,not_run,Overflow auto handling
SP12,overflow,value,clip,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow clip handling
SP12,overflow-x,value,visible,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow visible handling
SP12,overflow-x,value,hidden,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow hidden handling
SP12,overflow-x,value,scroll,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow scroll handling
SP12,overflow-x,value,auto,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow auto handling
SP12,overflow-x,value,clip,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow clip handling
SP12,overflow-y,value,visible,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow visible handling
SP12,overflow-y,value,hidden,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow hidden handling
SP12,overflow-y,value,scroll,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow scroll handling
SP12,overflow-y,value,auto,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow auto handling
SP12,overflow-y,value,clip,css-overflow-3 §3,yes,openui-style/src/enums.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Overflow clip handling
SP12,box-sizing,value,content-box,css-sizing-3 §6,yes,openui-style/src/enums.rs; openui-layout/src/length_resolver.rs,yes,box_sizing_content_box,yes,fail,0.4275,no,not_run,Width/height exclude padding+border
SP12,box-sizing,value,border-box,css-sizing-3 §6,yes,openui-style/src/enums.rs; openui-layout/src/length_resolver.rs,yes,box_sizing_border_box,yes,fail,0.246667,no,not_run,Width/height include padding+border
SP12,margin,value,auto,css-box-3 §5,yes,openui-layout/src/length_resolver.rs; openui-layout/src/block.rs,yes,margin_auto,yes,pass,0.0,no,not_run,Horizontal centering via auto margins
SP12,margin,value,px,css-box-3 §5,yes,openui-layout/src/length_resolver.rs; openui-layout/src/block.rs,yes,margin_positive,yes,pass,0.0,no,not_run,Fixed pixel margin
SP12,margin,value,%,css-box-3 §5,yes,openui-layout/src/length_resolver.rs; openui-layout/src/block.rs,yes,,no,not_run,,no,not_run,Percentage of containing block width
SP12,margin,value,negative,css-box-3 §5,yes,openui-layout/src/length_resolver.rs; openui-layout/src/block.rs,yes,margin_negative,yes,pass,0.0,no,not_run,Negative margins pull content
SP12,margin,collapsing,collapsing-siblings,css2 §8.3.1,yes,openui-layout/src/margin_collapsing.rs,yes,margin_collapsing_siblings,yes,pass,0.0,no,not_run,Adjacent sibling margins collapse
SP12,margin,collapsing,collapsing-parent-child,css2 §8.3.1,yes,openui-layout/src/margin_collapsing.rs,yes,margin_collapsing_parent_child,no,not_run,,no,not_run,Parent-child margin collapsing
SP12,margin,collapsing,collapsing-through-empty,css2 §8.3.1,yes,openui-layout/src/margin_collapsing.rs,yes,margin_collapsing_through_empty,no,not_run,,no,not_run,Empty block collapses own margins
SP12,padding,value,px,css-box-3 §6,yes,openui-layout/src/length_resolver.rs,yes,padding_basic,yes,pass,0.0,no,not_run,Fixed pixel padding
SP12,padding,value,%,css-box-3 §6,yes,openui-layout/src/length_resolver.rs,yes,,no,not_run,,no,not_run,Percentage of containing block width
SP12,border-width,value,thin,css-backgrounds-3 §4,yes,openui-layout/src/length_resolver.rs,yes,,no,not_run,,no,not_run,Border width keyword/value: thin
SP12,border-width,value,medium,css-backgrounds-3 §4,yes,openui-layout/src/length_resolver.rs,yes,,no,not_run,,no,not_run,Border width keyword/value: medium
SP12,border-width,value,thick,css-backgrounds-3 §4,yes,openui-layout/src/length_resolver.rs,yes,,no,not_run,,no,not_run,Border width keyword/value: thick
