sp,feature,sub_feature,variant,css_spec_section,implemented,implementation_file,has_unit_test,pixel_test_id,pixel_compared_with_chromium,pixel_result,pixel_diff_pct,perf_compared_with_chromium,perf_ratio,notes
SP13,inline_formatting_context,basic_text,single_text_node,CSS2.2§9.4.2,yes,openui-layout/src/inline/algorithm.rs,yes,inline_single_span,yes,fail,0.355417,no,,Core IFC entry via inline_layout(); tested across all sp13 suites
SP13,inline_formatting_context,multiple_inline_spans,sibling_spans,CSS2.2§9.4.2,yes,openui-layout/src/inline/items_builder.rs,yes,inline_multiple_spans,yes,fail,0.372917,no,,enter_inline/exit_inline track open/close tags; sp13_b tests multi-span lines
SP13,inline_formatting_context,nested_inlines,deeply_nested,CSS2.2§9.4.2,yes,openui-layout/src/inline/items_builder.rs,yes,inline_nested_spans,yes,fail,0.391458,no,,collect_children() recurses; nested_spans_multi_line in sp13_b
SP13,line_breaking,soft_wrap_opportunities,normal_text,CSS-Text-3§5.1,yes,openui-layout/src/inline/line_breaker.rs,yes,line_breaking_normal_wrap,yes,fail,2.64625,no,,find_break_opportunities() with UAX#14 and space-based breaks
SP13,line_breaking,forced_breaks,br_and_newline,CSS-Text-3§5.1,yes,openui-layout/src/inline/line_breaker.rs,yes,,no,not_run,,no,,has_forced_newline(); handle_text_with_newlines() for pre/pre-line
SP13,line_breaking,emergency_breaks,overflow_character_break,CSS-Text-3§5.1,yes,openui-layout/src/inline/line_breaker.rs,yes,,no,not_run,,no,,handle_character_break(); force_text_on_line() prevents infinite loops
SP13,white_space,inline_processing,normal,CSS-Text-3§4,yes,openui-layout/src/inline/items_builder.rs,yes,white_space_collapsing,yes,fail,0.384167,no,,collapse_whitespace() collapses runs; default white-space mode
SP13,white_space,inline_processing,nowrap,CSS-Text-3§4,yes,openui-layout/src/inline/line_breaker.rs,yes,line_breaking_nowrap,yes,fail,0.286667,no,,allows_line_wrap() returns false; prevents soft wraps
SP13,white_space,inline_processing,pre,CSS-Text-3§4,yes,openui-layout/src/inline/items_builder.rs,yes,white_space_preserving,yes,fail,1.830208,no,,Preserves all whitespace and newlines; expand_tabs() handles tabs
SP13,white_space,inline_processing,pre-wrap,CSS-Text-3§4,yes,openui-layout/src/inline/items_builder.rs,yes,,no,not_run,,no,,Preserves whitespace but allows wrapping; hang_width tracked in LineInfo
SP13,white_space,inline_processing,pre-line,CSS-Text-3§4,yes,openui-layout/src/inline/items_builder.rs,yes,,no,not_run,,no,,collapse_spaces_preserve_newlines(); collapses spaces keeps newlines
