test_id,area,dependency,owning_sp,mismatch_pct
wpt/css2_floats/float-after-block-with-collapsed-margin-inside-inline,css2_floats,SP11/SP13: Text Rendering,needs_text,0.00
wpt/css2_floats/float-in-inline-anonymous-block-with-overflow-hidden,css2_floats,SP11/SP13: Text Rendering,needs_text,1.06
wpt/css2_floats/float-no-content-beside-001,css2_floats,SP11/SP13: Text Rendering,needs_text,1.19
wpt/css2_floats/float-no-content-beside-001-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,1.19
wpt/css2_floats/float-nowrap-1,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-1-notref,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-2,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-3,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-3-ref,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-4,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-4-ref,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-4-ref2,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-7,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-8,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-9,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.49
wpt/css2_floats/float-nowrap-hyphen-rewind-1,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",2.03
wpt/css2_floats/float-nowrap-hyphen-rewind-1-ref,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",2.03
wpt/css2_floats/float-nowrap-hyphen-rewind-1-ref2,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",2.03
wpt/css2_floats/floats-line-wrap-shifted-001,css2_floats,SP11: Font Metrics,needs_font_metrics,1.61
wpt/css2_floats/floats-line-wrap-shifted-001-ref,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",1.77
wpt/css2_floats/floats-placement-002,css2_floats,SP11: Font Metrics,needs_font_metrics,0.08
wpt/css2_floats/floats-placement-003,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",0.34
wpt/css2_floats/floats-placement-004,css2_floats,SP11: Font Metrics,needs_font_metrics,1.70
wpt/css2_floats/floats-placement-005,css2_floats,SP11/SP13: Text Rendering; SP11: Font Metrics,"needs_text,needs_font_metrics",1.22
wpt/css2_floats/floats-placement-vertical-001-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,3.18
wpt/css2_floats/floats-placement-vertical-001a,css2_floats,SP11/SP13: Text Rendering,needs_text,3.18
wpt/css2_floats/floats-placement-vertical-001b,css2_floats,SP11/SP13: Text Rendering,needs_text,3.18
wpt/css2_floats/floats-placement-vertical-001c,css2_floats,SP11/SP13: Text Rendering,needs_text,3.18
wpt/css2_floats/floats-placement-vertical-004-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,1.61
wpt/css2_floats/floats-wrap-top-below-001l-notref,css2_floats,SP11/SP13: Text Rendering,needs_text,1.14
wpt/css2_floats/floats-wrap-top-below-001l-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,1.14
wpt/css2_floats/floats-wrap-top-below-001r-notref,css2_floats,SP11/SP13: Text Rendering,needs_text,1.14
wpt/css2_floats/floats-wrap-top-below-001r-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,1.14
wpt/css2_floats/floats-wrap-top-below-002l-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,1.01
wpt/css2_floats/floats-wrap-top-below-002r-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,1.01
wpt/css2_floats/floats-wrap-top-below-003l-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,2.17
wpt/css2_floats/floats-wrap-top-below-003r-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,3.23
wpt/css2_floats/floats-wrap-top-below-bfc-001l,css2_floats,SP11/SP13: Text Rendering,needs_text,2.20
wpt/css2_floats/floats-wrap-top-below-bfc-001r,css2_floats,SP11/SP13: Text Rendering,needs_text,2.20
wpt/css2_floats/floats-wrap-top-below-bfc-002l,css2_floats,SP11/SP13: Text Rendering,needs_text,5.26
wpt/css2_floats/floats-wrap-top-below-bfc-002r,css2_floats,SP11/SP13: Text Rendering,needs_text,5.26
wpt/css2_floats/floats-wrap-top-below-bfc-003l,css2_floats,SP11/SP13: Text Rendering,needs_text,3.23
wpt/css2_floats/floats-wrap-top-below-bfc-003r,css2_floats,SP11/SP13: Text Rendering,needs_text,3.23
wpt/css2_floats/floats-wrap-top-below-inline-001l,css2_floats,SP11/SP13: Text Rendering,needs_text,2.20
wpt/css2_floats/floats-wrap-top-below-inline-001r,css2_floats,SP11/SP13: Text Rendering,needs_text,2.20
wpt/css2_floats/floats-wrap-top-below-inline-002l,css2_floats,SP11/SP13: Text Rendering,needs_text,5.26
wpt/css2_floats/floats-wrap-top-below-inline-002r,css2_floats,SP11/SP13: Text Rendering,needs_text,5.26
wpt/css2_floats/floats-wrap-top-below-inline-003l,css2_floats,SP11/SP13: Text Rendering,needs_text,3.23
wpt/css2_floats/floats-wrap-top-below-inline-003r,css2_floats,SP11/SP13: Text Rendering,needs_text,3.23
wpt/css2_floats/floats-zero-height-wrap-001,css2_floats,SP11/SP13: Text Rendering,needs_text,0.76
wpt/css2_floats/floats-zero-height-wrap-001-ref,css2_floats,SP11/SP13: Text Rendering,needs_text,0.93
wpt/css2_floats/floats-zero-height-wrap-002,css2_floats,SP11/SP13: Text Rendering,needs_text,0.76
wpt/css2_floats/line-pushed-by-floats-crash,css2_floats,SP11/SP13: Text Rendering,needs_text,2.50
wpt/css2_floats/new-fc-relayout,css2_floats,SP11: Font Metrics,needs_font_metrics,0.35
wpt/css2_floats/new-fc-separates-from-float-4,css2_floats,SP11/SP13: Text Rendering,needs_text,0.81
wpt/css_backgrounds/background-334,css_backgrounds,SP13: Image Rendering,needs_image,0.01
wpt/css_backgrounds/background-attachment-fixed,css_backgrounds,SP13: Image Rendering,needs_image,1.54
wpt/css_backgrounds/background-attachment-fixed-inline-scrolled-ref,css_backgrounds,SP11/SP13: Text Rendering; SP13: Gradient Rendering,"needs_text,needs_gradient",31.48
wpt/css_backgrounds/background-attachment-local,css_backgrounds,SP13: Image Rendering,needs_image,1.86
wpt/css_backgrounds/background-attachment-local_attachment-local-clipping-image-4-ref,css_backgrounds,SP13: Image Rendering,needs_image,2.98
wpt/css_backgrounds/background-attachment-local_attachment-local-clipping-image-6-ref,css_backgrounds,SP13: Image Rendering,needs_image,2.98
wpt/css_backgrounds/background-attachment-margin-root-001-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,85.50
wpt/css_backgrounds/background-attachment-margin-root-002-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,85.50
wpt/css_backgrounds/background-clip_clip-border-area-border-on-top,css_backgrounds,SP13: Image Rendering,needs_image,8.49
wpt/css_backgrounds/background-clip_clip-border-area-border-on-top-ref,css_backgrounds,SP13: Image Rendering,needs_image,8.49
wpt/css_backgrounds/background-clip_clip-border-area-box-decoration-break-ref,css_backgrounds,SP11/SP13: Text Rendering,needs_text,0.49
wpt/css_backgrounds/background-clip_clip-border-area-multiple-backgrounds,css_backgrounds,SP13: Image Rendering,needs_image,4.08
wpt/css_backgrounds/background-clip_clip-border-area-multiple-backgrounds-ref,css_backgrounds,SP13: Image Rendering,needs_image,7.93
wpt/css_backgrounds/background-clip_clip-border-box,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",11.36
wpt/css_backgrounds/background-clip_clip-border-box_with_position,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",11.36
wpt/css_backgrounds/background-clip_clip-border-box_with_radius,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",12.05
wpt/css_backgrounds/background-clip_clip-border-box_with_size,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",11.36
wpt/css_backgrounds/background-clip_clip-content-box,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",11.36
wpt/css_backgrounds/background-clip_clip-content-box_with_position,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",11.36
wpt/css_backgrounds/background-clip_clip-content-box_with_radius,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",12.05
wpt/css_backgrounds/background-clip_clip-content-box_with_size,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",11.36
wpt/css_backgrounds/background-clip_clip-padding-box,css_backgrounds,SP13: Image Rendering,needs_image,1.11
wpt/css_backgrounds/background-clip_clip-padding-box_with_position,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",11.36
wpt/css_backgrounds/background-clip_clip-padding-box_with_radius,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",12.05
wpt/css_backgrounds/background-clip_clip-padding-box_with_size,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",11.36
wpt/css_backgrounds/background-clip_clip-text-dynamic-2-ref,css_backgrounds,SP11: Font Metrics,needs_font_metrics,32.27
wpt/css_backgrounds/background-gradient-interpolation-001,css_backgrounds,SP13: Gradient Rendering,needs_gradient,6.37
wpt/css_backgrounds/background-gradient-interpolation-001-notref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,6.37
wpt/css_backgrounds/background-gradient-subpixel-fills-area,css_backgrounds,SP13: Gradient Rendering,needs_gradient,4.40
wpt/css_backgrounds/background-image-005,css_backgrounds,SP13: Image Rendering,needs_image,2.12
wpt/css_backgrounds/background-image-006,css_backgrounds,SP13: Image Rendering,needs_image,2.12
wpt/css_backgrounds/background-image-centered,css_backgrounds,SP13: Gradient Rendering,needs_gradient,6.37
wpt/css_backgrounds/background-image-centered-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,6.37
wpt/css_backgrounds/background-image-centered-with-border-radius,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",0.00
wpt/css_backgrounds/background-image-cover-zoomed-1,css_backgrounds,SP13: Image Rendering,needs_image,10.70
wpt/css_backgrounds/background-image-gradient-currentcolor-conic-repaint-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,2.11
wpt/css_backgrounds/background-image-gradient-currentcolor-linear-repaint-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,2.10
wpt/css_backgrounds/background-image-gradient-currentcolor-radial-repaint-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,2.12
wpt/css_backgrounds/background-image-gradient-currentcolor-visited-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,2.10
wpt/css_backgrounds/background-image-gradient-interpolation-repaint-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,2.12
wpt/css_backgrounds/background-image-large-with-auto,css_backgrounds,SP13: Image Rendering,needs_image,2.54
wpt/css_backgrounds/background-margin-root-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,85.50
wpt/css_backgrounds/background-margin-transformed-root-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,85.50
wpt/css_backgrounds/background-margin-will-change-root-ref,css_backgrounds,SP13: Gradient Rendering,needs_gradient,85.50
wpt/css_backgrounds/background-origin_origin-border-box,css_backgrounds,SP13: Image Rendering,needs_image,1.00
wpt/css_backgrounds/background-origin_origin-border-box_with_radius,css_backgrounds,SP13: Image Rendering,needs_image,1.07
wpt/css_backgrounds/background-origin_origin-border-box_with_size,css_backgrounds,SP13: Image Rendering,needs_image,1.00
wpt/css_backgrounds/background-origin_origin-content-box,css_backgrounds,SP13: Image Rendering,needs_image,1.00
wpt/css_backgrounds/background-origin_origin-content-box_with_radius,css_backgrounds,SP13: Image Rendering,needs_image,1.07
wpt/css_backgrounds/background-origin_origin-content-box_with_size,css_backgrounds,SP13: Image Rendering,needs_image,1.00
wpt/css_backgrounds/background-origin_origin-padding-box,css_backgrounds,SP13: Image Rendering,needs_image,1.00
wpt/css_backgrounds/background-origin_origin-padding-box_with_radius,css_backgrounds,SP13: Image Rendering,needs_image,1.07
wpt/css_backgrounds/background-origin_origin-padding-box_with_size,css_backgrounds,SP13: Image Rendering,needs_image,1.00
wpt/css_backgrounds/background-position_background-position-bottom-right-repeat-round,css_backgrounds,SP13: Gradient Rendering,needs_gradient,2.12
wpt/css_backgrounds/background-position_subpixel-position-center.tentative,css_backgrounds,SP13: Image Rendering,needs_image,0.15
wpt/css_backgrounds/background-repeat-round-1-ref,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.10
wpt/css_backgrounds/background-repeat-round-1a,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.10
wpt/css_backgrounds/background-repeat-round-1b,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.10
wpt/css_backgrounds/background-repeat-round-1c,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.10
wpt/css_backgrounds/background-repeat-round-1d,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.10
wpt/css_backgrounds/background-repeat-round-1e,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.10
wpt/css_backgrounds/background-repeat-round-2,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",0.55
wpt/css_backgrounds/background-repeat-round-2-ref,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",0.55
wpt/css_backgrounds/background-repeat-round-3,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",0.55
wpt/css_backgrounds/background-repeat-round-3-ref,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",0.55
wpt/css_backgrounds/background-repeat-round-4,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.10
wpt/css_backgrounds/background-repeat-round-4-ref,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.10
wpt/css_backgrounds/background-repeat-round-empty-crash,css_backgrounds,SP11/SP13: Text Rendering; SP13: Image Rendering,"needs_text,needs_image",0.01
wpt/css_backgrounds/background-repeat-space-1-ref,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.96
wpt/css_backgrounds/background-repeat-space-1a,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.96
wpt/css_backgrounds/background-repeat-space-1b,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.96
wpt/css_backgrounds/background-repeat-space-1c,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.96
wpt/css_backgrounds/background-repeat-space-2,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",0.22
wpt/css_backgrounds/background-repeat-space-2-ref,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",0.22
wpt/css_backgrounds/background-repeat-space-3,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.30
wpt/css_backgrounds/background-repeat-space-3-ref,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.30
wpt/css_backgrounds/background-repeat-space-4,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.96
wpt/css_backgrounds/background-repeat-space-4-ref,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.96
wpt/css_backgrounds/background-repeat-space-5,css_backgrounds,SP13: Image Rendering; SP13: Gradient Rendering,"needs_image,needs_gradient",1.96
