chromium_test_path,area,ported,our_test_id,pixel_result,mismatch_pct,failure_category,dependency
wpt/css2_floats/float-after-block-with-collapsed-margin-inside-inline,css2_floats,yes,wpt/css2_floats/float-after-block-with-collapsed-margin-inside-inline,fail,0.00,needs_text,SP11/SP13: Text Rendering
wpt/css2_floats/float-in-inline-anonymous-block-with-overflow-hidden,css2_floats,yes,wpt/css2_floats/float-in-inline-anonymous-block-with-overflow-hidden,fail,1.06,needs_text,SP11/SP13: Text Rendering
wpt/css2_floats/float-in-nested-multicol-001,css2_floats,yes,wpt/css2_floats/float-in-nested-multicol-001,pass,0.00,,
wpt/css2_floats/float-no-content-beside-001,css2_floats,yes,wpt/css2_floats/float-no-content-beside-001,fail,1.19,needs_text,SP11/SP13: Text Rendering
wpt/css2_floats/float-no-content-beside-001-ref,css2_floats,yes,wpt/css2_floats/float-no-content-beside-001-ref,fail,1.19,needs_text,SP11/SP13: Text Rendering
wpt/css2_floats/float-nowrap-1,css2_floats,yes,wpt/css2_floats/float-nowrap-1,fail,0.49,"needs_text,needs_font_metrics",SP11/SP13: Text Rendering; SP11: Font Metrics
wpt/css2_floats/float-nowrap-1-notref,css2_floats,yes,wpt/css2_floats/float-nowrap-1-notref,fail,0.49,"needs_text,needs_font_metrics",SP11/SP13: Text Rendering; SP11: Font Metrics
wpt/css2_floats/float-nowrap-2,css2_floats,yes,wpt/css2_floats/float-nowrap-2,fail,0.49,"needs_text,needs_font_metrics",SP11/SP13: Text Rendering; SP11: Font Metrics
wpt/css2_floats/float-nowrap-3,css2_floats,yes,wpt/css2_floats/float-nowrap-3,fail,0.49,"needs_text,needs_font_metrics",SP11/SP13: Text Rendering; SP11: Font Metrics
wpt/css2_floats/float-nowrap-3-ref,css2_floats,yes,wpt/css2_floats/float-nowrap-3-ref,fail,0.49,"needs_text,needs_font_metrics",SP11/SP13: Text Rendering; SP11: Font Metrics
wpt/css2_floats/float-nowrap-4,css2_floats,yes,wpt/css2_floats/float-nowrap-4,fail,0.49,"needs_text,needs_font_metrics",SP11/SP13: Text Rendering; SP11: Font Metrics
wpt/css2_floats/float-nowrap-4-ref,css2_floats,yes,wpt/css2_floats/float-nowrap-4-ref,fail,0.49,"needs_text,needs_font_metrics",SP11/SP13: Text Rendering; SP11: Font Metrics
wpt/css2_floats/float-nowrap-4-ref2,css2_floats,yes,wpt/css2_floats/float-nowrap-4-ref2,fail,0.49,"needs_text,needs_font_metrics",SP11/SP13: Text Rendering; SP11: Font Metrics
