filename,status,fn_name,reason
margin-trim_block-container-block-001,ported,css_box_margin_trim_block_container_block_001,
margin-trim_block-container-block-002,ported,css_box_margin_trim_block_container_block_002,
margin-trim_block-container-block-end-001,ported,css_box_margin_trim_block_container_block_end_001,
margin-trim_block-container-block-end-002,ported,css_box_margin_trim_block_container_block_end_002,
margin-trim_block-container-block-end-collapsed-margins-ref,ported,css_box_margin_trim_block_container_block_end_collapsed_margins_ref,
margin-trim_block-container-block-end-collapsed-margins,ported,css_box_margin_trim_block_container_block_end_collapsed_margins,
margin-trim_block-container-block-end-self-collapsing-block-start-margin-nested,ported,css_box_margin_trim_block_container_block_end_self_collapsing_block_start_margin_nested,
margin-trim_block-container-block-end-self-collapsing-block-start-margin,ported,css_box_margin_trim_block_container_block_end_self_collapsing_block_start_margin,
margin-trim_block-container-block-end-self-collapsing-item-has-larger-block-end-ref,ported,css_box_margin_trim_block_container_block_end_self_collapsing_item_has_larger_block_end_ref,
margin-trim_block-container-block-end-self-collapsing-item-has-larger-block-end,ported,css_box_margin_trim_block_container_block_end_self_collapsing_item_has_larger_block_end,
margin-trim_block-container-block-end-self-collapsing-item-has-larger-block-start-ref,ported,css_box_margin_trim_block_container_block_end_self_collapsing_item_has_larger_block_start_ref,
margin-trim_block-container-block-end-self-collapsing-item-has-larger-block-start,ported,css_box_margin_trim_block_container_block_end_self_collapsing_item_has_larger_block_start,
margin-trim_block-container-block-end-start-margin,ported,css_box_margin_trim_block_container_block_end_start_margin,
margin-trim_block-container-block-in-inline-001,ported,css_box_margin_trim_block_container_block_in_inline_001,
margin-trim_block-container-block-in-inline-002,ported,css_box_margin_trim_block_container_block_in_inline_002,
margin-trim_block-container-block-in-inline-003,ported,css_box_margin_trim_block_container_block_in_inline_003,
margin-trim_block-container-block-in-inline-004,ported,css_box_margin_trim_block_container_block_in_inline_004,
margin-trim_block-container-block-in-inline-005,ported,css_box_margin_trim_block_container_block_in_inline_005,
margin-trim_block-container-block-in-inline-006,ported,css_box_margin_trim_block_container_block_in_inline_006,
margin-trim_block-container-block-in-inline-007,ported,css_box_margin_trim_block_container_block_in_inline_007,
margin-trim_block-container-block-start-001,ported,css_box_margin_trim_block_container_block_start_001,
margin-trim_block-container-block-start-002,ported,css_box_margin_trim_block_container_block_start_002,
margin-trim_block-container-block-start-003,ported,css_box_margin_trim_block_container_block_start_003,
margin-trim_block-container-block-start-004,ported,css_box_margin_trim_block_container_block_start_004,
margin-trim_block-container-block-start-collapsed-margins-ref,ported,css_box_margin_trim_block_container_block_start_collapsed_margins_ref,
margin-trim_block-container-block-start-collapsed-margins,ported,css_box_margin_trim_block_container_block_start_collapsed_margins,
margin-trim_block-container-block-start-self-collapsing-item-has-larger-block-end-ref,ported,css_box_margin_trim_block_container_block_start_self_collapsing_item_has_larger_block_end_ref,
margin-trim_block-container-block-start-self-collapsing-item-has-larger-block-end,ported,css_box_margin_trim_block_container_block_start_self_collapsing_item_has_larger_block_end,
margin-trim_block-container-block-start-self-collapsing-item-larger-block-start-ref,ported,css_box_margin_trim_block_container_block_start_self_collapsing_item_larger_block_start_ref,
margin-trim_block-container-block-start-self-collapsing-item-larger-block-start,ported,css_box_margin_trim_block_container_block_start_self_collapsing_item_larger_block_start,
margin-trim_block-container-inline-001,ported,css_box_margin_trim_block_container_inline_001,
margin-trim_block-container-non-adjoining-item-ref,ported,css_box_margin_trim_block_container_non_adjoining_item_ref,
margin-trim_block-container-non-adjoining-item,ported,css_box_margin_trim_block_container_non_adjoining_item,
margin-trim_flex-block-end-trimmed-only-ref,ported,css_box_margin_trim_flex_block_end_trimmed_only_ref,
margin-trim_flex-block-end-trimmed-only,ported,css_box_margin_trim_flex_block_end_trimmed_only,
margin-trim_flex-block-start-trimmed-only-ref,ported,css_box_margin_trim_flex_block_start_trimmed_only_ref,
margin-trim_flex-block-start-trimmed-only,ported,css_box_margin_trim_flex_block_start_trimmed_only,
margin-trim_flex-block-trimmed-only-ref,ported,css_box_margin_trim_flex_block_trimmed_only_ref,
margin-trim_flex-block-trimmed-only,ported,css_box_margin_trim_flex_block_trimmed_only,
margin-trim_flex-column-grow,ported,css_box_margin_trim_flex_column_grow,
margin-trim_flex-column-inline-multiline-ref,ported,css_box_margin_trim_flex_column_inline_multiline_ref,
margin-trim_flex-column-inline-multiline,ported,css_box_margin_trim_flex_column_inline_multiline,
margin-trim_flex-column-shrink,ported,css_box_margin_trim_flex_column_shrink,
margin-trim_flex-column-style-change-triggers-layout-block-end-ref,ported,css_box_margin_trim_flex_column_style_change_triggers_layout_block_end_ref,
margin-trim_flex-column-style-change-triggers-layout-block-ref,ported,css_box_margin_trim_flex_column_style_change_triggers_layout_block_ref,
margin-trim_flex-column-style-change-triggers-layout-block-start-ref,ported,css_box_margin_trim_flex_column_style_change_triggers_layout_block_start_ref,
