filename,status,fn_name,reason
abspos-auto-sizing-fit-content-percentage-001,ported,css_sizing_abspos_auto_sizing_fit_content_percentage_001,
abspos-auto-sizing-fit-content-percentage-002,ported,css_sizing_abspos_auto_sizing_fit_content_percentage_002,
abspos-auto-sizing-fit-content-percentage-003,ported,css_sizing_abspos_auto_sizing_fit_content_percentage_003,
abspos-auto-sizing-fit-content-percentage-004,ported,css_sizing_abspos_auto_sizing_fit_content_percentage_004,
abspos-auto-sizing-fit-content-percentage-005,ported,css_sizing_abspos_auto_sizing_fit_content_percentage_005,
abspos-auto-sizing-fit-content-percentage-006,ported,css_sizing_abspos_auto_sizing_fit_content_percentage_006,
abspos-auto-sizing-fit-content-percentage-007,ported,css_sizing_abspos_auto_sizing_fit_content_percentage_007,
abspos-auto-sizing-fit-content-percentage-008,ported,css_sizing_abspos_auto_sizing_fit_content_percentage_008,
auto-scrollbar-inside-stf-abspos-ref,ported,css_sizing_auto_scrollbar_inside_stf_abspos_ref,
auto-scrollbar-inside-stf-abspos,ported,css_sizing_auto_scrollbar_inside_stf_abspos,
block-size-with-min-or-max-content-2,ported,css_sizing_block_size_with_min_or_max_content_2,
block-size-with-min-or-max-content-3,ported,css_sizing_block_size_with_min_or_max_content_3,
block-size-with-min-or-max-content-6,ported,css_sizing_block_size_with_min_or_max_content_6,
block-size-with-min-or-max-content-7,ported,css_sizing_block_size_with_min_or_max_content_7,
border-box-and-max-content-001-ref,ported,css_sizing_border_box_and_max_content_001_ref,
border-box-and-max-content-001,ported,css_sizing_border_box_and_max_content_001,
border-box-and-max-content-002-ref,ported,css_sizing_border_box_and_max_content_002_ref,
border-box-and-max-content-002,ported,css_sizing_border_box_and_max_content_002,
border-box-and-max-content-003-ref,ported,css_sizing_border_box_and_max_content_003_ref,
border-box-and-max-content-003,ported,css_sizing_border_box_and_max_content_003,
box-sizing-border-box-001-ref,ported,css_sizing_box_sizing_border_box_001_ref,
box-sizing-border-box-001,ported,css_sizing_box_sizing_border_box_001,
box-sizing-border-box-002-ref,ported,css_sizing_box_sizing_border_box_002_ref,
box-sizing-border-box-002,ported,css_sizing_box_sizing_border_box_002,
box-sizing-border-box-003-ref,ported,css_sizing_box_sizing_border_box_003_ref,
box-sizing-border-box-003,ported,css_sizing_box_sizing_border_box_003,
box-sizing-border-box-004-ref,ported,css_sizing_box_sizing_border_box_004_ref,
box-sizing-border-box-004,ported,css_sizing_box_sizing_border_box_004,
box-sizing-content-box-001-ref,ported,css_sizing_box_sizing_content_box_001_ref,
box-sizing-content-box-001,ported,css_sizing_box_sizing_content_box_001,
box-sizing-content-box-002-ref,ported,css_sizing_box_sizing_content_box_002_ref,
box-sizing-content-box-002,ported,css_sizing_box_sizing_content_box_002,
box-sizing-content-box-003-ref,ported,css_sizing_box_sizing_content_box_003_ref,
box-sizing-content-box-003,ported,css_sizing_box_sizing_content_box_003,
calc-margins-block,ported,css_sizing_calc_margins_block,
calc-margins-flex,ported,css_sizing_calc_margins_flex,
div-auto-margin-bottom-ref,ported,css_sizing_div_auto_margin_bottom_ref,
div-auto-margin-ref,ported,css_sizing_div_auto_margin_ref,
div-auto-margin-top-ref,ported,css_sizing_div_auto_margin_top_ref,
div-block-size-ref,ported,css_sizing_div_block_size_ref,
div-fit-content-auto-margin-bottom.tentative,ported,css_sizing_div_fit_content_auto_margin_bottom_tentative,
div-fit-content-auto-margin-top.tentative,ported,css_sizing_div_fit_content_auto_margin_top_tentative,
div-fit-content-auto-margin.tentative,ported,css_sizing_div_fit_content_auto_margin_tentative,
div-fit-content-block-size.tentative,ported,css_sizing_div_fit_content_block_size_tentative,
div-max-content-auto-margin-bottom.tentative,ported,css_sizing_div_max_content_auto_margin_bottom_tentative,
div-max-content-auto-margin-top.tentative,ported,css_sizing_div_max_content_auto_margin_top_tentative,
div-max-content-auto-margin.tentative,ported,css_sizing_div_max_content_auto_margin_tentative,
div-max-content-block-size.tentative,ported,css_sizing_div_max_content_block_size_tentative,
div-min-content-auto-margin-bottom.tentative,ported,css_sizing_div_min_content_auto_margin_bottom_tentative,
div-min-content-auto-margin-top.tentative,ported,css_sizing_div_min_content_auto_margin_top_tentative,
div-min-content-auto-margin.tentative,ported,css_sizing_div_min_content_auto_margin_tentative,
div-min-content-block-size.tentative,ported,css_sizing_div_min_content_block_size_tentative,
div-top-and-non-auto-margin-ref,ported,css_sizing_div_top_and_non_auto_margin_ref,
div-top-and-non-auto-margin.tentative,ported,css_sizing_div_top_and_non_auto_margin_tentative,
dynamic-change-inline-size-003-ref,ported,css_sizing_dynamic_change_inline_size_003_ref,
fit-content-block-size-abspos,ported,css_sizing_fit_content_block_size_abspos,
fit-content-block-size-fixedpos-ref,ported,css_sizing_fit_content_block_size_fixedpos_ref,
fit-content-block-size-fixedpos,ported,css_sizing_fit_content_block_size_fixedpos,
fit-content-contribution-001,ported,css_sizing_fit_content_contribution_001,
fit-content-length-percentage-001,ported,css_sizing_fit_content_length_percentage_001,
fit-content-length-percentage-002,ported,css_sizing_fit_content_length_percentage_002,
fit-content-length-percentage-003,ported,css_sizing_fit_content_length_percentage_003,
fit-content-length-percentage-004,ported,css_sizing_fit_content_length_percentage_004,
fit-content-length-percentage-005,ported,css_sizing_fit_content_length_percentage_005,
fit-content-length-percentage-006,ported,css_sizing_fit_content_length_percentage_006,
fit-content-length-percentage-007,ported,css_sizing_fit_content_length_percentage_007,
fit-content-length-percentage-008,ported,css_sizing_fit_content_length_percentage_008,
fit-content-length-percentage-009,ported,css_sizing_fit_content_length_percentage_009,
fit-content-length-percentage-010,ported,css_sizing_fit_content_length_percentage_010,
fit-content-length-percentage-011,ported,css_sizing_fit_content_length_percentage_011,
fit-content-length-percentage-012,ported,css_sizing_fit_content_length_percentage_012,
fit-content-length-percentage-013,ported,css_sizing_fit_content_length_percentage_013,
fit-content-length-percentage-014,ported,css_sizing_fit_content_length_percentage_014,
fit-content-length-percentage-015,ported,css_sizing_fit_content_length_percentage_015,
fit-content-length-percentage-016,ported,css_sizing_fit_content_length_percentage_016,
fit-content-max-inline-size.tentative,ported,css_sizing_fit_content_max_inline_size_tentative,
fit-content-min-inline-size,ported,css_sizing_fit_content_min_inline_size,
float-clearance-with-margin-collapse-and-fit-content-and-padding-percentage-001,ported,css_sizing_float_clearance_with_margin_collapse_and_fit_content_and_padding_percentage_001,
float-clearance-with-margin-collapse-and-fit-content-and-padding-percentage-002,ported,css_sizing_float_clearance_with_margin_collapse_and_fit_content_and_padding_percentage_002,
